file_name,sn,test_id,ignition_time,P,T,R,true_thrust,is_anomalous,snr
00001_001_SN01_24bars_ssf,1,1,2021-01-18 08:00:01.000,4.427599379738173,300.0,199.05670139407064,1.1853760901555883,False,19.877383209172557
00002_002_SN01_21bars_ssf,1,2,2021-01-18 10:00:01.000,4.535060170126099,300.0,4.124220120735339,1.025907022569131,False,27.85455500472325
00003_003_SN01_18bars_ssf,1,3,2021-01-18 12:00:01.000,3.3326124186828627,300.0,13.388814927834883,0.8704103433537628,False,19.755902930125465
00004_004_SN01_15bars_ssf,1,4,2021-01-18 14:00:01.000,2.7597195704635418,300.0,17.89071955916469,0.7263648170470789,False,17.604514770562105
00005_005_SN01_12bars_ssf,1,5,2021-01-18 16:00:01.000,2.7568517826869496,300.0,15.944450591779242,0.5948365245844314,False,24.678009181595417
00006_006_SN01_9bars_ssf,1,6,2021-01-18 18:00:01.000,2.326705105525059,300.0,26.4638014070677,0.47553394214584377,False,23.346847479884786
00007_007_SN01_24bars_health_check,1,7,2021-01-18 20:00:01.000,3.7023929523115475,91.35000000000001,1.6135067282334743,0.6311281797054176,False,14.575518394614944
00008_008_SN01_21bars_health_check,1,8,2021-01-19 06:00:01.000,1.7271979711604728,91.35000000000001,1.4111366083318506,0.5586441052627182,False,7.806437373310262
00009_009_SN01_18bars_health_check,1,9,2021-01-19 08:00:01.000,2.578732317062756,91.35000000000001,1.6046533888874885,0.47718615637122386,False,13.55217556046094
00010_010_SN01_15bars_health_check,1,10,2021-01-19 10:00:01.000,1.135814699547279,91.35000000000001,1.7475936528569898,0.3984549964350797,False,7.186105018785053
00011_011_SN01_12bars_health_check,1,11,2021-01-19 12:00:01.000,1.9417249758664648,91.35000000000001,1.489273919727381,0.32119317064235947,False,14.948239695663242
00012_012_SN01_9bars_health_check,1,12,2021-01-19 14:00:01.000,0.7671694943731924,91.35000000000001,1.4982192286225,0.2577019845447228,False,7.112691786794879
00013_013_SN01_24bars_ramp1,1,13,2021-01-19 16:00:01.000,4.571594575011109,91.0,9.712370774028482,0.6563080158814603,False,9.984867313450257
00014_014_SN01_24bars_ramp2,1,14,2021-01-19 18:00:01.000,3.9369004029043664,19.0,12.570188443902952,0.6544144725738443,False,9.353012377057764
00015_015_SN01_24bars_ramp3,1,15,2021-01-19 20:00:01.000,5.223481357635544,110.0,2.8335574592670545,1.1037419227213396,False,22.29305757687944
