time,ton,thrust,mfr,vl,anomaly_code,uv_360nm
2021-06-09 12:00:00.000,0,-0.0035341888204629,0.0,0.0,,8.138266328315929
2021-06-09 12:00:00.010,0,-0.0077634872764647,0.0,1.0,,7.2397894548473385
2021-06-09 12:00:00.020,0,0.0024473793508376,0.0,1.0,,11.257132116144984
2021-06-09 12:00:00.030,0,0.0054625030608525,0.0,1.0,,8.263275572357548
2021-06-09 12:00:00.040,0,0.0062665135697448,0.0,1.0,,9.228746929119934
2021-06-09 12:00:00.050,0,0.0005800823177887,0.0,1.0,,7.376092421869814
2021-06-09 12:00:00.060,0,0.001266933565609,0.0,1.0,,9.684649245375983
2021-06-09 12:00:00.070,0,-0.000541268776405,0.0,1.0,,6.528315210188593
2021-06-09 12:00:00.080,0,0.0022353426295215,0.0,1.0,,10.651487651772623
2021-06-09 12:00:00.090,0,-0.00829441604745,0.0,1.0,,10.154843663578937
2021-06-09 12:00:00.100,0,-0.0033302526391797,0.0,1.0,,9.723324378954112
2021-06-09 12:00:00.110,0,-0.0066086817409423,0.0,1.0,,4.713755728185707
2021-06-09 12:00:00.120,0,-0.0024436100656705,0.0,1.0,,9.303724443698167
2021-06-09 12:00:00.130,0,-0.0026768255778783,0.0,1.0,,10.708087336157178
2021-06-09 12:00:00.140,0,0.000757444197914,0.0,1.0,,11.29333784898012
2021-06-09 12:00:00.150,0,0.0063380991453048,0.0,1.0,,10.210528422113404
2021-06-09 12:00:00.160,0,-0.0002628437873595,0.0,0.0,,10.113993077540245
2021-06-09 12:00:00.170,0,0.0003113228477105,0.0,0.0,,10.309856363095934
2021-06-09 12:00:00.180,0,-0.0049634076154048,0.0,0.0,,7.110621191410493
2021-06-09 12:00:00.190,0,-0.0088010988009572,0.0,0.0,,11.039796011772271
2021-06-09 12:00:00.200,0,0.0004874578976201,0.0,0.0,,10.569776070346196
2021-06-09 12:00:00.210,0,-0.0054989885485401,0.0,0.0,,10.629437608962485
2021-06-09 12:00:00.220,0,0.0061966898452213,0.0,0.0,,10.43875371489926
2021-06-09 12:00:00.230,0,0.0025341199151659,0.0,0.0,,11.461087227811127
2021-06-09 12:00:00.240,0,0.0054361814831887,0.0,0.0,,9.463090334745887
2021-06-09 12:00:00.250,0,-0.0021291890318127,0.0,0.0,,7.224891502985267
2021-06-09 12:00:00.260,0,0.0084046113424508,0.0,0.0,,13.237645368071238
2021-06-09 12:00:00.270,0,0.0006820162840659,0.0,0.0,,7.754113118450205
2021-06-09 12:00:00.280,0,0.0042128112255545,0.0,0.0,,11.774034571521447
2021-06-09 12:00:00.290,0,-0.0060245147871199,0.0,0.0,,8.895596196566895
2021-06-09 12:00:00.300,0,-0.0012697715523516,0.0,0.0,,11.301030106818917
2021-06-09 12:00:00.310,0,0.0005374287063014,0.0,0.0,,13.75797155303849
2021-06-09 12:00:00.320,0,0.0047458908746878,0.0,0.0,,8.158421835693249
2021-06-09 12:00:00.330,0,-0.0038325448319645,0.0,0.0,,9.775839766064378
2021-06-09 12:00:00.340,0,-1.7455891803278168e-06,0.0,0.0,,6.443159608701206
2021-06-09 12:00:00.350,0,-0.0026100430501754,0.0,0.0,,10.138637831452643
2021-06-09 12:00:00.360,0,-0.0004383845157045,0.0,0.0,,11.502918876975215
2021-06-09 12:00:00.370,0,0.0009388393871956,0.0,0.0,,9.924333639185331
2021-06-09 12:00:00.380,0,0.000537631527105,0.0,0.0,,10.930903574351293
2021-06-09 12:00:00.390,0,0.0003208052999414,0.0,0.0,,9.608196319999353
2021-06-09 12:00:00.400,0,-0.0016429582139489,0.0,0.0,,11.241796761446867
2021-06-09 12:00:00.410,0,-0.0034712989206835,0.0,0.0,,10.740140342599483
2021-06-09 12:00:00.420,0,-5.734336299303224e-05,0.0,0.0,,8.723943036989388
2021-06-09 12:00:00.430,0,-0.002969487251893,0.0,0.0,,9.427673428834042
2021-06-09 12:00:00.440,0,-0.001310366404141,0.0,0.0,,9.892883785863868
