is_anomalous,confidence,ignition_time,P,T,R,true_thrust,is_valid,inference_time,uid,filename
0,1.0,1.26,1.9470674693161647,299.96,51.232058686426306,1.188640522284388,1,1.057304859161377,1,00001_001_SN01_24bars_ssf.csv
0,1.0,1.23,1.9691425620621446,300.01,13.664338053270617,1.0265000429035618,1,0.001069784164428711,2,00002_002_SN01_21bars_ssf.csv
0,1.0,1.25,1.5563392359164738,299.98,23.44555979595355,0.8739981798555904,1,0.0010151863098144531,3,00003_003_SN01_18bars_ssf.csv
0,1.0,1.31,1.1649667697101007,299.92,19.498330742176933,0.7357196202564741,1,0.0009396076202392578,4,00004_004_SN01_15bars_ssf.csv
0,1.0,1.27,1.0825653815034717,299.94,12.640683280620443,0.5965794256208617,1,0.0009000301361083984,5,00005_005_SN01_12bars_ssf.csv
0,1.0,1.27,0.9872791174993863,299.95,3.336794682689661,0.47971092258680886,1,0.0012359619140625,6,00006_006_SN01_9bars_ssf.csv
0,1.0,106.7,1.6147463166231686,461.44,3.7841719834604572,1.1122716437982272,1,0.002458810806274414,7,00007_007_SN01_24bars_health_check.csv
0,1.0,91.32000000000001,1.5675065345923818,476.8,3.755043456309977,0.9743158272347903,1,0.0036590099334716797,8,00008_008_SN01_21bars_health_check.csv
0,1.0,91.28,1.2470491143601126,476.89,3.8818805571705046,0.8405152808476254,1,0.002104043960571289,9,00009_009_SN01_18bars_health_check.csv
0,1.0,91.31,1.0348544106660362,476.84000000000003,3.62166328133205,0.7007292998009913,1,0.002826213836669922,10,00010_010_SN01_15bars_health_check.csv
0,1.0,91.31,0.8517807093559009,476.83,3.68286421968612,0.5754307663811423,1,0.0023610591888427734,11,00011_011_SN01_12bars_health_check.csv
0,1.0,91.36,0.7202769980677439,476.72,3.8905345753292604,0.47010842242764384,1,0.0036590099334716797,12,00012_012_SN01_9bars_health_check.csv
0,1.0,3.7,1.7119887674614755,151.81,20.243153532924346,1.9977217034667478,1,0.001455068588256836,13,00013_013_SN01_24bars_ramp1.csv
0,0.8977461457252502,2.8000000000000003,1.5707844773969937,8.63,1.3899892422486049,1.714229058631791,1,0.0026149749755859375,14,00014_014_SN01_24bars_ramp2.csv
0,1.0,1.25,2.0624849152990787,205.99,6.189363431755839,1.1631977175726942,1,0.002290964126586914,15,00015_015_SN01_24bars_ramp3.csv
0,1.0,1.26,2.0323145167836065,745.89,17.640722310592036,1.1507862374748428,1,0.004877805709838867,16,00016_016_SN01_24bars_ramp4.csv
0,1.0,3.89,0.0,2215.56,3.105792125669369,0.4811265958532414,0,0.043762922286987305,17,00017_017_SN01_24bars_onmod.csv
0,1.0,4.64,1.9548534208427,1522.98,1.6355747967493726,1.6606974861838077,1,0.014580965042114258,18,00018_018_SN01_24bars_offmod.csv
0,1.0,114.81,1.6910657326773202,98.85000000000001,3.974037780793545,1.9059389359723475,1,0.008453845977783203,19,00019_019_SN01_24bars_random_short.csv
0,1.0,1.27,2.3145613172835287,1079.94,6.409566640530386,1.1227553469070228,1,0.003699064254760742,20,00020_020_SN01_24bars_random_long.csv
0,1.0,1.42,1.8854422835856635,302.48,42.173147175947484,1.2756650509555096,1,0.0030469894409179688,21,00021_021_SN01_24bars_random_mixed.csv
0,1.0,1.94,1.135122021100857,159.79,9.075808414213896,1.4765986196309477,1,0.0010619163513183594,22,00022_022_SN01_21bars_ramp1.csv
0,0.9999992847442627,2.58,1.260089403751286,37.0,1.196528808376329,1.4126710293692908,1,0.0006358623504638672,23,00023_023_SN01_21bars_ramp2.csv
0,1.0,1.26,1.6871999834121778,205.96,7.714562868685635,0.9683898454878171,1,0.0015411376953125,24,00024_024_SN01_21bars_ramp3.csv
0,1.0,1.26,1.6383149642226065,745.95,20.32549722047207,0.9567273833137719,1,0.0028111934661865234,25,00025_025_SN01_21bars_ramp4.csv
0,1.0,1.2,0.0,2343.52,2.2302029329881243,0.40175620599673273,0,0.0695960521697998,26,00026_026_SN01_21bars_onmod.csv
0,1.0,4.39,1.745958178345098,1478.04,36.84252978285644,1.4844456508702026,1,0.022981882095336914,27,00027_027_SN01_21bars_offmod.csv
0,0.9902672171592712,86.67,1.190014851486176,0.04,,1.5357745089950305,0,0.0004100799560546875,28,00028_028_SN01_21bars_random_short.csv
0,1.0,1.24,1.6610675086006448,995.98,2.331956530042216,0.9225926103877367,1,0.013125896453857422,29,00029_029_SN01_21bars_random_long.csv
