uid,sn,test_id,split,P,T,R,ignition_time,true_thrust,is_anomalous,is_valid
1,1,1,train,1.9470674693161647,299.96,51.232058686426306,1.26,1.188640522284388,False,1
2,1,2,train,1.9691425620621446,300.01,13.664338053270617,1.23,1.0265000429035618,False,1
3,1,3,train,1.5563392359164738,299.98,23.44555979595355,1.25,0.8739981798555904,False,1
4,1,4,train,1.1649667697101007,299.92,19.498330742176933,1.31,0.7357196202564741,False,1
5,1,5,train,1.0825653815034717,299.94,12.640683280620443,1.27,0.5965794256208617,False,1
6,1,6,train,0.9872791174993863,299.95,3.336794682689661,1.27,0.47971092258680886,False,1
7,1,7,train,1.6147463166231686,461.44,3.7841719834604572,106.7,1.1122716437982272,False,1
8,1,8,train,1.5675065345923818,476.8,3.755043456309977,91.32000000000001,0.9743158272347903,False,1
9,1,9,train,1.2470491143601126,476.89,3.8818805571705046,91.28,0.8405152808476254,False,1
10,1,10,train,1.0348544106660362,476.84000000000003,3.62166328133205,91.31,0.7007292998009913,False,1
11,1,11,train,0.8517807093559009,476.83,3.68286421968612,91.31,0.5754307663811423,False,1
12,1,12,train,0.7202769980677439,476.72,3.8905345753292604,91.36,0.47010842242764384,False,1
13,1,13,train,1.7119887674614755,151.81,20.243153532924346,3.7,1.9977217034667478,False,1
14,1,14,train,1.5707844773969937,8.63,1.3899892422486049,2.8000000000000003,1.714229058631791,False,1
15,1,15,train,2.0624849152990787,205.99,6.189363431755839,1.25,1.1631977175726942,False,1
16,1,16,train,2.0323145167836065,745.89,17.640722310592036,1.26,1.1507862374748428,False,1
17,1,17,train,0.0,2215.56,3.105792125669369,3.89,0.4811265958532414,False,0
18,1,18,train,1.9548534208427,1522.98,1.6355747967493726,4.64,1.6606974861838077,False,1
19,1,19,train,1.6910657326773202,98.85000000000001,3.974037780793545,114.81,1.9059389359723475,False,1
20,1,20,train,2.3145613172835287,1079.94,6.409566640530386,1.27,1.1227553469070228,False,1
21,1,21,train,1.8854422835856635,302.48,42.173147175947484,1.42,1.2756650509555096,False,1
22,1,22,train,1.135122021100857,159.79,9.075808414213896,1.94,1.4765986196309477,True,1
23,1,23,train,1.260089403751286,37.0,1.196528808376329,2.58,1.4126710293692908,False,1
24,1,24,train,1.6871999834121778,205.96,7.714562868685635,1.26,0.9683898454878171,False,1
