file_name,sn,test_id,ignition_time,P,T,R,true_thrust,is_anomalous,snr,pred_is_anomalous,pred_thrust,true_is_anomalous,inference_time
01269_001_SN13_24bars_ssf,13,1269,2021-08-22 08:00:01.000,6.049779701347983,300.0,18.833484884285475,1.1351009155700835,False,27.66501260761927,1,0.8093959093093872,0,0.24617552757263184
01270_002_SN13_21bars_ssf,13,1270,2021-08-22 10:00:01.000,3.9976240451882754,300.0,30.132034009087118,0.9626949026122787,False,23.06740977901376,0,0.7330896854400635,0,0.0011489391326904297
01271_003_SN13_18bars_ssf,13,1271,2021-08-22 12:00:01.000,4.488164104962206,300.0,40.46980773834304,0.8228046998644405,True,39.41646356848539,0,0.6640466451644897,1,0.0008285045623779297
01272_004_SN13_15bars_ssf,13,1272,2021-08-22 14:00:01.000,3.1777034612136394,300.0,23.861424027714847,0.6720066273987668,False,24.66795184647803,0,0.6088767647743225,0,0.0008406639099121094
01273_005_SN13_12bars_ssf,13,1273,2021-08-22 16:00:01.000,2.5346189809978763,300.0,25.646875543871097,0.5412749127880062,False,22.930104205391316,0,0.4829413890838623,0,0.0007843971252441406
01274_006_SN13_9bars_ssf,13,1274,2021-08-22 18:00:01.000,1.9951687672386145,300.0,19.092591695878426,0.4257854750796787,False,30.129411277392023,0,0.35788387060165405,0,0.0007910728454589844
01275_007_SN13_24bars_health_check,13,1275,2021-08-22 20:00:01.000,1.927137806184715,91.35,1.4332710022923254,0.6325194030446406,False,8.271277887425875,0,0.42658138275146484,0,0.0009298324584960938
01276_008_SN13_21bars_health_check,13,1276,2021-08-23 06:00:01.000,4.279709645633584,91.35,1.0768589269194178,0.5474110908927676,False,21.51991978188413,0,0.35072416067123413,0,0.0008003711700439453
01277_009_SN13_18bars_health_check,13,1277,2021-08-23 08:00:01.000,3.619961023123937,91.35,1.2049742432707422,0.4541394641169231,False,21.52368893586647,0,0.33130937814712524,0,0.0007424354553222656
01278_010_SN13_15bars_health_check,13,1278,2021-08-23 10:00:01.000,1.1542505064369215,91.35,1.3450633132170366,0.3843591019289967,False,8.271758780104976,0,0.2695674002170563,0,0.0007441043853759766
