time,ton,thrust,mfr,vl,anomaly_code
2021-08-10 14:00:00.000,0,-0.0006197600329553,0.0,0.0,
2021-08-10 14:00:00.010,0,-0.0045860380407766,0.0,1.0,
2021-08-10 14:00:00.020,0,0.0111597654005228,0.0,1.0,
2021-08-10 14:00:00.030,0,0.0030952214485056,0.0,0.0,
2021-08-10 14:00:00.040,0,0.0007537131571262,0.0,0.0,
2021-08-10 14:00:00.050,0,0.0027281536188038,0.0,0.0,
2021-08-10 14:00:00.060,0,0.0033174912525470003,0.0,0.0,
2021-08-10 14:00:00.070,0,-0.0031810919083254,0.0,0.0,
2021-08-10 14:00:00.080,0,-0.0018066886274304,0.0,0.0,
2021-08-10 14:00:00.090,0,2.0068103953485893e-05,0.0,0.0,
2021-08-10 14:00:00.100,0,0.001273184873485,0.0,0.0,
2021-08-10 14:00:00.110,0,0.0027178142197535,0.0,0.0,
2021-08-10 14:00:00.120,0,0.0028097037540957,0.0,0.0,
2021-08-10 14:00:00.130,0,0.0003273859142363,0.0,0.0,
2021-08-10 14:00:00.140,0,-0.0029043899733511,0.0,0.0,
2021-08-10 14:00:00.150,0,-0.0002311435529078,0.0,0.0,
2021-08-10 14:00:00.160,0,-0.0008416355638756,0.0,0.0,
2021-08-10 14:00:00.170,0,0.0005641585291601,0.0,0.0,
2021-08-10 14:00:00.180,0,-0.0030209928295467,0.0,0.0,
2021-08-10 14:00:00.190,0,-0.0006659063932801,0.0,0.0,
2021-08-10 14:00:00.200,0,-0.0042126585217948,0.0,0.0,
2021-08-10 14:00:00.210,0,-0.0026037017941786,0.0,0.0,
2021-08-10 14:00:00.220,0,-0.0051169727224954,0.0,0.0,
2021-08-10 14:00:00.230,0,0.0052408102745522,0.0,0.0,
2021-08-10 14:00:00.240,0,-0.0031426711166721,0.0,0.0,
2021-08-10 14:00:00.250,0,-0.0013166547518488,0.0,0.0,
2021-08-10 14:00:00.260,0,0.0032766660280389,0.0,0.0,
2021-08-10 14:00:00.270,0,-0.0036555641956628,0.0,0.0,
2021-08-10 14:00:00.280,0,-0.0001574690055703,0.0,0.0,
2021-08-10 14:00:00.290,0,0.0033532536543869,0.0,0.0,
2021-08-10 14:00:00.300,0,-0.000863747256778,0.0,0.0,
2021-08-10 14:00:00.310,0,0.0002721826236585,0.0,0.0,
2021-08-10 14:00:00.320,0,0.0042883765048254,0.0,0.0,
2021-08-10 14:00:00.330,0,-0.0073995969728443,0.0,0.0,
2021-08-10 14:00:00.340,0,-0.0033885464743659,0.0,0.0,
2021-08-10 14:00:00.350,0,-0.0007496577361221,0.0,0.0,
2021-08-10 14:00:00.360,0,-2.595327156368483e-05,0.0,0.0,
2021-08-10 14:00:00.370,0,-0.0027410788256676,0.0,0.0,
2021-08-10 14:00:00.380,0,-0.0019865229204196,0.0,0.0,
2021-08-10 14:00:00.390,0,-0.0025548659910879,0.0,0.0,
2021-08-10 14:00:00.400,0,-0.0024419029489443,0.0,0.0,
2021-08-10 14:00:00.410,0,-0.0026545919157674,0.0,0.0,
